rid^facility_name^address^last_inspected^violation_code^violation^violation_count^num_crit_not_corrected^num_non_critical^description^local_health_dept^county^facility_address^city^zipcode^nysdoh^municipality^operation_name^permit_exp_date^permitted^business^corp_name^operator_lname^operator_fname^nys_health_id^inspection_type^comments^state^coords
749c46e1^HILLSDALE HOUSE^1 Anthony  STREET,  HILLSDALE^2024-10-03^1H^Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.^2^0^2^Food Service Establishment - Restaurant^Columbia County^COLUMBIA^1 Anthony  STREET^HILLSDALE^12529^106100^HILLSDALE^HILLSDALE HOUSE^2026-03-31^^HILLSDALE HOUSE^NOBLETOWN NY LLC^BARBATO^CARMEN^271084^Inspection^^NY^42.181839^ -73.51123
749c46e1^HILLSDALE HOUSE^1 Anthony  STREET,  HILLSDALE^2024-10-03^3C^Critical Violation [RED] Food workers do not use proper utensils to eliminate bare hand contact with cooked or prepared foods.^2^0^2^Food Service Establishment - Restaurant^Columbia County^COLUMBIA^1 Anthony  STREET^HILLSDALE^12529^106100^HILLSDALE^HILLSDALE HOUSE^2026-03-31^^HILLSDALE HOUSE^NOBLETOWN NY LLC^BARBATO^CARMEN^271084^Inspection^^NY^42.181839^ -73.51123
749c46e1^HILLSDALE HOUSE^1 Anthony  STREET,  HILLSDALE^2024-10-03^11B^Wiping cloths dirty, not stored properly in sanitizing solutions^2^0^2^Food Service Establishment - Restaurant^Columbia County^COLUMBIA^1 Anthony  STREET^HILLSDALE^12529^106100^HILLSDALE^HILLSDALE HOUSE^2026-03-31^^HILLSDALE HOUSE^NOBLETOWN NY LLC^BARBATO^CARMEN^271084^Inspection^^NY^42.181839^ -73.51123
749c46e1^HILLSDALE HOUSE^1 Anthony  STREET,  HILLSDALE^2024-10-03^11C^Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred^2^0^2^Food Service Establishment - Restaurant^Columbia County^COLUMBIA^1 Anthony  STREET^HILLSDALE^12529^106100^HILLSDALE^HILLSDALE HOUSE^2026-03-31^^HILLSDALE HOUSE^NOBLETOWN NY LLC^BARBATO^CARMEN^271084^Inspection^^NY^42.181839^ -73.51123
21ca8e56^GALLUP INN^ROUTE 20,  NEW LEBANON^2025-07-18^^No violations found.^0^0^0^Food Service Establishment - Tavern^Columbia County^COLUMBIA^ROUTE 20^NEW LEBANON^12125^106400^NEW LEBANON^GALLUP INN^2025-12-31^^GALLUP INN^GALLUP INN INC.^GALLUP^NICOLE^271427^Inspection^^NY^42.488483^ -73.4552
55ff476b^AVON PRIMARY SCHOOL CAFETERIA^161 CLINTON STREET,  AVON^2025-03-06^^No violations found.^0^0^0^Institutional Food Service - School K-12 Food Service^Livingston County^LIVINGSTON^161 CLINTON STREET^AVON^14414^255000^AVON^AVON PRIMARY SCHOOL CAFETERIA^2025-11-01^^AVON PRIMARY SCHOOL CAFETERIA^^CENTRAL SCHOOL^AVON^279535^Inspection^Hot and cold holding temperatures acceptable at time of inspection. Kitchen very clean. No violations noted.^NY^42.90822^ -77.74106
d3a8651a^ONEIDA FAMILY YMCA - SACC PROGRAM^701 SENECA STREET,  ONEIDA^2024-10-22^^No violations found.^0^0^0^Institutional Food Service - Day Care Center Food Service^Madison County^MADISON^701 SENECA STREET^ONEIDA^13421^260100^ONEIDA^ONEIDA FAMILY YMCA - SACC PROGRAM^2025-08-31^^ONEIDA FAMILY YMCA - SACC PROGRAM^YMCA  OF THE GREATER TRI-VALLEY^LEO^HENRY^443843^Inspection^Satisfactory inspection^NY^43.0752^ -75.6514
d050cade^THEA BOWMAN HOUSE CHILD CARE^309 GENESEE STREET,  UTICA^2025-06-30^15A^Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces^0^0^1^Institutional Food Service - Day Care Center Food Service^Oneida County^ONEIDA^309 GENESEE STREET^UTICA^13501^320203^UTICA^THEA BOWMAN HOUSE CHILD CARE^2025-12-31^^THEA BOWMAN HOUSE CHILD CARE^THEA BOWMAN HOUSE, INC.^DOMINGUE^JANE^290834^Inspection^^NY^43.097141^ -75.23984
9c8640cf^APPLEBEE'S NEIGHBORHOOD BAR & GRILL^1794 BLACK RIVER BOULEVARD,  ROME^2025-03-17^11D^Non food contact surfaces of equipment not clean^0^0^1^Food Service Establishment - Food Service Establishment^Oneida County^ONEIDA^1794 BLACK RIVER BOULEVARD^ROME^13440^320111^ROME^APPLEBEE'S NEIGHBORHOOD BAR & GRILL^2025-12-31^^APPLEBEE'S NEIGHBORHOOD BAR & GRILL^TLC CENTRAL, LLC^BRANT^CLYDE^292318^Inspection^^NY^43.233372^ -75.43737
ba7c978f^PEKING GARDEN^56 MAIN STREET,  BREWSTER^2025-05-21^11D^Non food contact surfaces of equipment not clean^0^0^3^Food Service Establishment - Restaurant^Putnam County^PUTNAM^56 MAIN STREET^BREWSTER^10509^395500^SOUTHEAST^PEKING GARDEN^2026-03-31^^PEKING GARDEN^PEKING GARDEN MAIN STREET, INC^LI^YUN MEI^299603^Inspection^^NY^41.394455^ -73.618259
